"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","Count_Person","1982","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",10471407,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1983","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",10749851,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1984","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",11039925,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1985","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",11351118,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1986","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",11667505,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1987","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",11997283,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1988","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",12306395,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1989","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",12637715,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1990","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13018365,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1991","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13289497,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1992","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13504775,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1993","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13713593,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1994","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13961798,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1995","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",14185403,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1996","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",14426911,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1997","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",14683350,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1998","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",14908230,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1999","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",15111244,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2000","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",16047515,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2001","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",16356966,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2002","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",16689370,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2003","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",17004085,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2004","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",17415318,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2005","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",17842038,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2006","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18166990,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2007","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18367842,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2008","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18527305,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2009","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18652644,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2010","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18846143,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2011","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19055607,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2012","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19302016,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2013","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19551678,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2014","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19853880,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2015","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",20219111,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2016","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",20627237,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2017","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",20977089,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",21254926,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2019","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",21492056,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2020","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",21733312,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2021","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",21781128,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2022","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",22245521,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","2023","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",22610726,"Total Population"
