"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",725,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",766,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",760,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",738,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",722,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",704,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",627,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",669,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",695,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",709,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",725,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",736,"Population of Person: Fishing (NAICS/1141)"
